Soil Moisture,Temperature,Humidity,Rain,Crop Type,Pump
80.44,31.58,63.74,0,Sugarcane,0
40.32,25.82,37.25,0,Rice,1
33.88,39.33,31.11,0,Maize,1
56.13,16.21,69.04,0,Wheat,0
21.98,30.67,71.09,0,Sugarcane,1
78.19,26.1,76.41,0,Cotton,0
16.34,45.38,57.77,0,Sugarcane,1
93.89,15.4,87.05,1,Maize,0
75.64,33.24,90.23,1,Rice,0
26.89,39.44,80.55,0,Cotton,0
10.47,31.01,67.67,0,Rice,1
79.31,17.82,42.78,0,Sugarcane,0
70.08,47.09,93.72,1,Sugarcane,0
71.97,32.09,40.56,0,Wheat,0
75.56,35.27,35.2,0,Cotton,0
16.29,22.81,53.16,0,Sugarcane,1
40.47,30.96,24.26,0,Maize,1
19.85,29.16,93.39,0,Maize,1
83.36,17.47,64.13,0,Rice,0
62.98,18.5,61.77,0,Maize,0
38.13,42.64,69.18,0,Sugarcane,1
15.4,22.91,57.28,0,Maize,1
36.43,21.43,22.4,0,Cotton,0
37.64,31.66,65.92,0,Rice,1
72.02,40.37,73.71,1,Cotton,0
64.19,17.04,51.26,0,Sugarcane,0
85.41,34.03,76.8,0,Sugarcane,0
50.14,18.93,37.03,0,Maize,0
20.17,16.2,36.6,0,Wheat,1
70.63,16.74,32.11,0,Wheat,0
74.67,42.53,47.9,0,Sugarcane,0
57.71,18.89,83.53,0,Sugarcane,0
75.53,16.49,82.09,0,Rice,0
51.97,29.45,48.71,0,Sugarcane,0
54.43,42.85,64.18,0,Sugarcane,0
46.34,23.66,74.06,0,Rice,1
12.16,28.92,38.09,0,Cotton,0
19.17,16.32,32.61,0,Cotton,1
12.67,29.82,92.91,0,Rice,1
64.09,34.06,66.32,0,Rice,0
36.72,33.84,93.61,0,Cotton,0
53.23,25.97,45.33,0,Cotton,0
87.14,25.41,72.73,1,Cotton,0
31.19,18.52,36.7,1,Cotton,0
44.88,27.1,39.59,0,Maize,0
74.22,18.28,58.39,0,Rice,0
29.45,40.3,43.97,0,Wheat,1
16.54,46.89,32.57,0,Maize,1
34.63,47.01,39.72,1,Wheat,0
23.7,43.55,22.68,0,Wheat,1
89.02,34.83,72.83,1,Sugarcane,0
78.69,38.13,56.91,0,Rice,0
63.84,24.41,27.07,0,Maize,1
84.07,35.82,32.88,1,Rice,0
78.31,30.04,27.69,0,Cotton,0
25.86,30.91,65.94,1,Rice,0
85.87,40.01,27.07,0,Wheat,0
55.84,24.3,76.57,0,Cotton,0
78.63,25.5,21.54,0,Rice,0
86.17,45.51,38.7,0,Rice,0
37.03,16.86,86.8,0,Wheat,1
19.35,31.03,73.89,0,Cotton,1
29.37,45.12,25.47,0,Wheat,1
46.3,35.14,81.58,0,Rice,1
79.53,33.03,56.98,0,Maize,0
83.16,23.24,83.51,0,Maize,1
10.59,26.33,65.06,1,Sugarcane,0
53.41,43.12,71.14,0,Maize,0
45.48,33.45,94.51,0,Cotton,0
28.88,31.99,37.43,1,Sugarcane,0
20.19,18.29,66.8,1,Cotton,0
38.7,15.53,54.52,0,Maize,1
90.15,46.8,22.96,1,Maize,0
37.47,27.44,21.09,0,Rice,1
54.1,34.91,28.94,0,Cotton,0
69.76,17.63,68.68,0,Wheat,0
40.91,37.54,62.54,0,Rice,1
92.6,45.77,61.51,1,Cotton,0
91.81,34.0,22.39,0,Sugarcane,0
31.4,19.16,55.2,1,Cotton,0
52.27,34.2,89.35,0,Sugarcane,0
35.57,40.29,49.82,0,Sugarcane,1
34.21,28.41,66.87,0,Maize,1
13.14,44.03,78.49,1,Wheat,0
61.81,36.41,78.79,0,Cotton,0
52.73,44.68,58.95,1,Wheat,0
14.38,35.58,84.35,1,Sugarcane,0
33.68,19.33,49.35,0,Maize,1
87.2,25.22,86.65,0,Wheat,0
30.36,21.66,38.02,1,Rice,0
22.32,44.99,41.02,1,Sugarcane,0
51.6,40.09,23.98,0,Rice,1
93.78,37.32,79.67,0,Wheat,0
30.57,24.93,51.28,0,Wheat,1
67.13,21.07,37.18,0,Wheat,0
74.74,39.96,37.38,0,Cotton,0
30.2,30.65,87.6,0,Sugarcane,0
71.9,22.45,82.54,0,Sugarcane,0
41.26,35.35,61.51,0,Sugarcane,1
63.75,16.33,66.21,0,Cotton,0
63.85,25.76,55.57,0,Wheat,0
55.54,30.46,49.37,0,Wheat,0
17.67,19.88,88.66,0,Rice,1
81.0,47.49,29.42,0,Cotton,0
37.27,21.9,51.38,0,Maize,1
25.85,19.3,45.84,0,Cotton,1
13.47,21.72,57.36,0,Rice,1
60.23,40.38,54.32,1,Rice,0
67.59,29.04,58.92,0,Rice,0
11.41,33.66,30.49,0,Wheat,1
53.53,15.69,58.49,0,Maize,0
29.25,16.14,38.18,0,Rice,0
64.84,29.71,33.82,1,Sugarcane,0
24.82,41.95,24.86,0,Wheat,1
68.73,44.21,77.2,0,Maize,0
42.87,17.86,52.06,0,Sugarcane,1
89.62,32.77,67.0,0,Maize,0
21.69,45.14,74.57,0,Maize,1
38.99,27.8,70.95,0,Sugarcane,1
19.65,42.38,55.29,0,Cotton,0
88.6,19.41,49.09,1,Maize,0
84.57,45.87,48.2,0,Cotton,0
31.93,39.8,68.0,0,Maize,1
66.1,46.06,57.11,0,Sugarcane,0
79.46,37.33,83.68,0,Maize,0
57.19,26.99,85.6,0,Rice,1
55.02,45.96,32.79,0,Rice,1
30.56,24.09,30.22,0,Maize,1
17.91,25.96,67.28,1,Sugarcane,0
86.26,38.13,42.59,0,Sugarcane,0
86.54,40.26,21.39,0,Wheat,0
63.81,45.67,86.65,0,Sugarcane,0
38.82,21.76,37.02,0,Cotton,0
39.68,41.33,89.7,0,Maize,1
71.71,39.37,73.81,1,Rice,0
86.25,17.11,77.2,1,Sugarcane,0
85.4,27.78,35.11,0,Rice,0
76.29,24.33,37.56,0,Wheat,0
64.57,25.05,59.1,0,Maize,0
17.15,47.44,32.91,0,Sugarcane,1
23.74,36.21,42.91,0,Rice,0
86.38,38.68,44.11,0,Sugarcane,0
61.55,47.23,31.97,0,Wheat,0
10.78,27.45,35.39,0,Rice,1
18.63,41.46,79.14,1,Rice,0
66.4,29.34,32.54,1,Maize,0
10.43,43.69,22.13,0,Maize,1
23.67,20.96,67.2,0,Rice,1
56.64,46.27,93.2,1,Maize,0
68.81,22.22,44.84,0,Rice,0
65.42,25.77,28.9,1,Cotton,0
29.06,39.95,62.78,0,Sugarcane,1
70.54,27.99,87.98,0,Cotton,1
30.17,35.07,78.8,0,Cotton,1
37.66,29.67,66.69,1,Sugarcane,0
73.45,39.5,43.63,0,Rice,0
65.22,22.53,60.64,0,Rice,0
82.18,16.93,26.84,0,Maize,0
65.9,24.9,70.92,1,Wheat,0
58.31,30.65,74.38,1,Rice,0
17.96,20.54,92.38,1,Sugarcane,0
41.26,26.71,39.53,1,Wheat,0
32.54,28.2,21.38,0,Sugarcane,1
30.74,16.89,60.92,0,Sugarcane,1
92.71,34.25,73.01,0,Sugarcane,0
43.41,44.18,79.28,0,Wheat,0
85.82,20.01,34.53,1,Cotton,0
63.65,34.73,39.63,1,Sugarcane,0
77.56,36.94,58.44,0,Maize,0
52.72,28.84,44.8,0,Rice,1
59.04,38.14,84.54,1,Rice,0
51.86,28.55,55.53,0,Rice,1
26.6,31.65,79.97,0,Wheat,1
71.41,15.24,63.55,0,Maize,0
33.87,37.83,77.98,0,Maize,1
12.07,36.82,44.95,0,Maize,1
64.87,16.27,82.36,0,Maize,0
25.05,27.15,40.59,0,Maize,1
89.94,47.31,60.96,1,Cotton,0
91.08,28.88,36.05,0,Maize,0
87.76,31.56,55.66,0,Maize,0
41.46,45.03,43.86,1,Wheat,0
11.31,38.67,40.0,0,Wheat,1
88.91,34.21,92.52,0,Maize,0
46.4,41.33,32.01,1,Cotton,0
92.17,43.52,79.05,0,Maize,0
91.91,30.08,93.81,1,Maize,0
82.51,30.68,21.49,0,Maize,1
35.03,27.74,72.43,0,Sugarcane,1
42.73,46.9,38.97,0,Cotton,0
82.35,38.01,23.04,0,Rice,0
36.94,17.75,50.22,1,Maize,0
24.41,43.48,90.14,0,Rice,1
57.33,30.86,20.88,1,Cotton,0
89.57,17.27,64.09,1,Maize,0
69.16,33.14,57.6,0,Rice,0
58.46,28.77,85.5,1,Rice,0
18.26,43.97,26.3,0,Cotton,1
62.28,21.73,71.11,0,Maize,0
94.15,42.27,71.01,1,Sugarcane,0
21.91,33.4,70.18,0,Cotton,1
54.06,16.8,90.68,0,Sugarcane,0
84.58,47.07,81.73,0,Maize,0
72.97,31.92,23.15,0,Rice,0
69.25,24.6,55.33,0,Cotton,0
69.71,30.49,49.85,0,Cotton,0
40.56,43.31,43.26,0,Cotton,0
34.96,25.06,53.85,0,Wheat,1
78.8,21.36,48.81,0,Maize,0
78.86,19.26,52.43,0,Wheat,0
83.7,24.83,93.44,0,Cotton,0
87.63,40.74,26.65,1,Cotton,0
53.46,30.56,89.17,0,Sugarcane,0
52.63,22.51,56.02,0,Wheat,0
77.86,20.48,66.78,0,Rice,0
65.25,25.98,82.26,0,Maize,0
69.67,46.02,47.03,0,Rice,0
77.64,26.32,52.28,1,Rice,0
85.65,47.61,50.71,1,Maize,0
38.73,31.01,48.1,1,Cotton,0
41.92,20.91,89.41,1,Sugarcane,0
17.99,44.41,82.17,0,Cotton,1
59.15,30.19,28.17,0,Cotton,0
13.06,38.42,28.11,0,Wheat,1
49.58,47.46,52.09,0,Rice,1
56.12,16.66,27.4,1,Rice,0
34.36,18.19,66.43,0,Rice,1
60.22,38.78,30.78,1,Sugarcane,0
12.59,24.3,59.18,0,Sugarcane,1
13.17,21.08,20.54,1,Sugarcane,0
79.92,16.3,43.74,0,Maize,0
40.62,15.72,70.79,0,Sugarcane,1
20.8,40.56,56.3,0,Wheat,1
54.39,19.44,93.37,1,Wheat,0
75.45,30.43,85.56,1,Cotton,0
28.34,34.99,46.93,0,Cotton,1
62.95,29.14,23.41,0,Cotton,1
17.25,15.89,83.42,0,Cotton,1
14.39,40.86,88.34,1,Wheat,0
55.17,15.35,81.55,0,Cotton,0
55.95,40.14,29.6,0,Wheat,1
64.18,44.48,94.84,0,Sugarcane,0
71.72,29.28,39.39,0,Sugarcane,0
92.95,32.67,74.32,0,Maize,0
53.89,30.74,88.1,0,Cotton,0
37.45,27.84,37.68,1,Sugarcane,0
77.59,44.29,88.12,1,Sugarcane,0
33.02,44.5,43.21,0,Rice,1
47.31,26.08,93.23,1,Rice,1
16.67,35.3,41.09,0,Wheat,1
12.15,45.59,91.51,0,Maize,1
91.83,46.75,24.02,0,Rice,0
81.06,31.8,73.2,0,Maize,0
69.16,29.94,59.91,1,Sugarcane,0
44.76,24.2,55.84,0,Wheat,0
24.73,46.64,36.76,0,Maize,1
23.3,19.71,72.92,1,Rice,1
31.27,34.13,34.31,0,Sugarcane,1
56.68,24.32,61.46,1,Cotton,0
70.74,24.21,38.99,0,Sugarcane,0
66.12,28.36,91.67,0,Rice,0
33.79,47.96,22.15,1,Rice,1
91.16,16.81,34.98,0,Cotton,0
72.72,34.09,38.17,0,Sugarcane,0
57.12,17.72,51.06,0,Maize,0
62.0,20.1,37.45,0,Maize,0
45.67,29.51,56.85,1,Sugarcane,0
31.06,31.85,85.43,0,Maize,1
40.26,23.54,73.4,0,Sugarcane,1
74.42,25.44,63.5,1,Sugarcane,0
11.22,17.87,26.68,0,Rice,1
19.87,25.01,72.05,0,Wheat,1
13.91,46.9,32.48,0,Rice,1
13.46,46.18,78.98,1,Maize,0
82.71,26.05,38.75,0,Wheat,0
69.81,33.84,51.28,0,Sugarcane,0
50.3,45.02,46.29,0,Maize,0
18.32,15.2,84.41,0,Cotton,1
51.79,41.75,29.49,0,Maize,0
50.25,46.3,62.42,0,Wheat,0
24.72,18.01,30.65,0,Wheat,1
46.88,20.33,72.86,0,Sugarcane,1
43.87,46.7,87.88,0,Cotton,0
62.35,32.74,52.6,1,Sugarcane,0
63.98,15.47,56.61,0,Cotton,0
13.85,23.5,89.56,0,Cotton,1
41.84,29.85,59.07,0,Sugarcane,1
63.2,37.87,56.57,0,Maize,0
52.77,39.19,63.37,0,Rice,1
82.8,47.85,71.69,0,Cotton,0
65.99,24.49,28.02,0,Wheat,0
23.85,32.76,81.58,1,Sugarcane,0
16.0,32.6,52.66,0,Maize,1
64.61,28.39,25.43,1,Cotton,0
12.25,20.58,78.96,0,Maize,1
59.79,47.26,48.27,1,Sugarcane,0
89.92,43.16,27.53,0,Wheat,0
58.92,31.44,67.53,0,Cotton,0
42.99,34.91,86.01,1,Cotton,0
64.68,22.5,86.58,0,Maize,0
48.95,32.94,91.82,0,Sugarcane,0
56.38,37.93,85.08,0,Rice,0
90.02,32.0,20.16,1,Cotton,0
42.82,47.68,48.52,0,Wheat,0
91.7,35.17,81.39,1,Cotton,1
86.95,27.24,47.47,0,Cotton,0
26.64,40.48,65.12,0,Rice,1
15.9,20.63,65.47,0,Rice,1
18.57,27.69,47.38,0,Sugarcane,1
11.55,26.45,87.84,0,Cotton,1
18.03,29.25,57.74,0,Cotton,1
68.06,40.8,54.86,0,Maize,1
16.05,30.98,94.81,0,Maize,1
37.11,41.2,57.01,0,Wheat,1
81.81,34.02,33.38,1,Wheat,0
11.98,26.29,58.48,0,Maize,0
79.23,41.73,81.05,1,Wheat,0
33.96,22.86,78.26,0,Cotton,1
20.04,22.4,79.14,1,Rice,0
69.22,31.65,73.1,0,Cotton,0
63.46,23.61,39.07,0,Maize,0
84.59,15.3,84.66,1,Sugarcane,0
72.48,36.39,87.01,1,Sugarcane,0
78.3,31.87,34.56,0,Maize,0
33.97,29.7,29.78,0,Cotton,1
25.08,46.91,93.17,0,Wheat,1
73.8,33.85,85.12,0,Wheat,0
78.58,43.49,86.99,1,Sugarcane,0
94.19,19.6,86.48,0,Maize,0
45.07,33.78,60.63,1,Maize,0
41.62,43.64,68.48,0,Rice,1
76.0,34.24,60.9,1,Sugarcane,0
38.97,38.69,23.84,1,Maize,0
89.11,27.28,75.91,0,Rice,0
82.97,18.05,57.9,0,Wheat,0
46.46,30.11,68.58,1,Sugarcane,0
73.82,28.02,57.7,0,Sugarcane,0
74.14,43.61,56.89,0,Maize,0
18.77,23.05,32.88,0,Maize,1
86.72,46.9,40.9,0,Cotton,0
52.95,46.62,31.91,1,Wheat,1
80.25,23.17,34.67,0,Wheat,0
37.2,26.49,92.97,1,Rice,0
86.12,44.55,31.48,0,Rice,0
43.08,46.9,40.2,0,Cotton,0
10.92,29.63,64.29,0,Wheat,1
86.96,25.59,65.76,0,Rice,0
17.76,32.36,31.55,0,Wheat,1
37.14,37.7,79.53,0,Wheat,1
90.76,24.02,78.89,0,Rice,0
90.8,39.3,37.8,1,Maize,0
58.74,16.7,41.65,0,Maize,0
63.71,16.63,90.35,0,Rice,0
48.12,27.75,81.93,1,Cotton,0
34.92,26.66,72.33,0,Sugarcane,1
37.94,25.42,26.17,0,Wheat,1
67.16,31.2,51.37,0,Sugarcane,0
73.95,25.58,61.95,0,Rice,0
77.28,21.34,34.06,0,Wheat,0
77.12,25.21,53.62,0,Sugarcane,0
17.75,47.17,65.08,0,Maize,0
52.03,28.57,44.55,0,Cotton,0
14.89,29.68,78.57,1,Sugarcane,0
56.71,34.03,83.03,0,Cotton,0
47.53,47.45,44.27,0,Maize,0
85.45,22.97,82.9,0,Sugarcane,1
39.83,37.48,27.77,1,Rice,0
19.95,38.63,82.83,0,Wheat,1
22.15,35.04,31.46,0,Maize,1
74.73,17.92,26.22,1,Cotton,1
62.55,37.34,68.13,0,Cotton,0
18.6,17.12,55.4,0,Maize,1
17.15,34.67,88.09,0,Rice,1
69.58,39.41,47.24,0,Rice,0
16.18,21.96,41.54,1,Cotton,0
79.86,42.77,57.56,0,Maize,0
70.03,16.0,54.2,0,Maize,0
16.91,42.85,45.83,0,Wheat,1
17.21,30.19,72.03,1,Cotton,0
93.86,22.18,76.97,0,Rice,0
41.81,19.41,83.97,0,Sugarcane,1
41.5,46.46,92.96,0,Rice,1
79.09,17.4,40.0,0,Rice,0
90.52,21.57,73.71,0,Sugarcane,0
93.81,26.48,49.57,0,Cotton,0
74.04,35.47,70.78,0,Wheat,0
41.98,32.98,55.7,0,Rice,1
17.1,19.15,94.53,0,Rice,1
76.06,24.56,74.67,0,Cotton,0
57.46,22.88,91.44,0,Cotton,0
46.06,22.05,82.62,1,Maize,0
87.04,28.57,87.72,0,Cotton,0
19.45,38.23,81.08,0,Cotton,1
51.87,22.18,54.44,0,Rice,1
10.97,27.1,38.88,1,Wheat,0
49.84,27.9,47.77,0,Rice,1
14.79,47.22,21.52,0,Cotton,1
20.1,46.5,59.3,0,Maize,1
19.99,41.4,57.88,0,Wheat,1
65.18,22.97,59.39,1,Maize,0
73.41,17.25,93.05,0,Sugarcane,0
59.59,25.46,88.36,0,Maize,0
91.78,23.8,32.13,1,Maize,0
41.86,31.7,47.67,0,Cotton,0
34.29,40.67,51.8,1,Cotton,0
83.83,43.32,47.04,0,Cotton,0
29.01,42.88,79.89,0,Cotton,1
91.87,26.87,59.3,1,Cotton,0
11.03,37.68,62.91,0,Maize,1
92.44,25.32,83.98,1,Sugarcane,0
13.67,17.01,80.44,0,Cotton,1
85.75,38.15,29.92,0,Sugarcane,0
54.85,15.32,73.54,0,Sugarcane,0
94.4,28.5,52.66,0,Rice,0
16.27,25.87,42.1,0,Rice,1
57.08,37.88,23.75,0,Wheat,0
92.39,40.29,56.54,1,Rice,0
54.46,25.04,46.66,0,Cotton,0
63.5,41.78,38.86,0,Sugarcane,0
69.14,24.7,72.1,0,Wheat,0
48.64,29.73,77.71,0,Rice,1
63.34,38.99,38.36,0,Maize,0
59.67,37.87,23.71,0,Wheat,0
86.6,47.58,83.66,1,Cotton,0
13.86,22.43,20.75,1,Sugarcane,1
33.88,36.86,90.28,0,Cotton,1
90.78,35.12,67.07,0,Cotton,0
85.67,45.2,44.14,0,Maize,0
48.73,20.16,38.49,0,Maize,0
62.71,39.81,20.68,0,Sugarcane,0
33.58,33.75,37.66,0,Rice,1
25.99,24.06,30.33,0,Cotton,1
49.41,30.66,65.91,0,Rice,1
40.03,26.01,32.49,1,Sugarcane,0
59.61,34.12,59.65,0,Cotton,0
16.61,44.34,64.26,0,Rice,0
92.82,33.79,42.35,0,Cotton,0
93.83,35.85,22.63,1,Maize,0
69.34,32.12,22.79,1,Maize,0
55.57,16.69,21.98,0,Wheat,0
36.31,22.68,75.43,0,Sugarcane,1
79.17,31.24,43.85,1,Rice,0
68.2,25.24,79.72,0,Cotton,0
23.82,21.0,52.38,1,Wheat,0
87.43,31.64,53.97,1,Sugarcane,0
79.92,25.65,58.47,0,Sugarcane,0
90.73,23.52,73.48,0,Sugarcane,0
71.69,30.31,40.51,0,Rice,0
62.14,19.4,29.12,0,Maize,0
45.55,45.62,61.7,1,Wheat,0
89.28,43.63,44.52,1,Rice,0
83.62,38.35,53.19,0,Cotton,1
13.84,18.51,68.52,0,Rice,0
12.24,40.6,57.06,0,Cotton,1
42.0,41.66,66.52,0,Cotton,0
78.9,40.34,60.82,0,Sugarcane,0
93.92,18.76,75.48,0,Rice,0
22.79,36.25,72.95,0,Maize,1
60.5,42.53,60.06,0,Cotton,0
42.38,34.05,70.92,1,Sugarcane,0
92.44,36.33,85.52,0,Maize,1
81.58,30.13,52.42,1,Rice,0
81.26,32.45,50.96,0,Maize,0
49.84,16.13,77.32,0,Rice,1
45.26,36.09,63.69,1,Cotton,0
33.24,17.69,25.33,0,Wheat,1
14.79,29.36,86.91,0,Wheat,1
83.5,24.66,22.31,0,Cotton,0
79.1,33.0,76.13,0,Maize,0
94.98,19.4,76.91,0,Rice,0
94.71,37.82,91.48,1,Wheat,0
57.21,41.24,24.06,0,Rice,1
75.36,20.39,64.76,0,Cotton,0
90.31,18.44,52.09,1,Maize,0
82.22,19.8,44.8,0,Rice,0
31.02,43.95,26.77,0,Maize,1
48.3,32.43,62.2,0,Wheat,0
20.98,30.42,55.93,0,Rice,1
91.09,18.52,27.84,0,Sugarcane,0
61.52,36.44,65.94,0,Wheat,0
29.43,43.64,75.35,0,Maize,1
67.09,42.33,77.55,0,Cotton,0
62.54,35.66,87.9,0,Sugarcane,0
40.44,17.48,50.71,0,Rice,1
19.65,18.71,91.48,0,Wheat,1
67.08,16.63,84.91,0,Rice,0
54.23,23.5,42.24,0,Rice,1
75.65,19.48,31.95,1,Sugarcane,0
54.21,23.58,52.65,0,Sugarcane,0
82.44,27.71,50.14,0,Sugarcane,0
56.91,46.12,63.18,0,Sugarcane,0
57.68,35.14,63.75,0,Cotton,0
84.52,42.55,76.25,0,Maize,0
44.3,38.44,58.24,1,Sugarcane,0
21.39,18.71,27.86,1,Wheat,0
12.45,39.29,84.37,1,Rice,0
74.19,24.08,43.23,1,Sugarcane,1
62.73,36.09,92.85,1,Wheat,0
69.85,26.25,28.84,0,Cotton,0
28.1,47.92,91.87,0,Wheat,1
21.59,23.7,26.83,1,Wheat,0
11.24,24.21,37.33,0,Cotton,1
39.8,45.71,23.49,0,Cotton,0
60.14,15.81,72.88,0,Rice,0
43.34,37.99,83.77,0,Sugarcane,1
47.19,38.94,52.56,0,Wheat,0
86.85,42.6,89.64,0,Maize,0
39.6,47.16,64.27,0,Maize,1
53.69,47.19,67.25,1,Rice,0
76.61,17.15,83.41,0,Maize,0
43.71,42.12,42.26,1,Rice,0
62.88,36.33,46.57,0,Sugarcane,0
83.3,36.36,87.95,0,Rice,0
90.71,19.24,87.57,0,Cotton,0
22.5,36.46,93.24,0,Cotton,1
88.76,47.42,87.64,0,Cotton,0
51.83,45.09,29.55,1,Cotton,0
31.95,29.49,81.78,1,Cotton,0
49.03,16.32,50.74,1,Cotton,0
93.3,26.96,94.31,0,Cotton,0
51.87,42.27,55.42,0,Cotton,0
37.94,38.15,61.54,0,Cotton,0
63.84,30.16,59.73,0,Sugarcane,0
30.41,16.82,44.13,0,Cotton,1
16.45,29.09,25.63,0,Rice,1
20.95,30.48,87.17,0,Sugarcane,1
20.88,45.64,80.2,0,Maize,1
22.91,36.16,30.46,0,Wheat,1
21.8,25.28,78.26,0,Sugarcane,1
64.47,32.34,66.94,0,Cotton,0
25.46,17.18,50.69,0,Sugarcane,1
39.38,47.09,39.05,0,Wheat,1
86.23,26.88,84.48,0,Wheat,0
50.29,30.77,72.51,0,Cotton,0
66.74,26.72,61.08,0,Cotton,0
24.65,37.52,65.72,1,Rice,0
26.34,36.85,26.83,0,Wheat,1
13.47,38.61,55.54,0,Cotton,1
24.36,23.85,34.53,0,Wheat,1
33.68,25.42,35.63,1,Rice,0
25.05,19.13,69.6,0,Maize,1
17.54,36.63,88.34,1,Wheat,1
20.25,16.31,50.28,0,Rice,1
49.17,34.72,35.58,0,Rice,1
27.54,43.7,68.66,1,Rice,0
40.96,44.4,85.34,0,Sugarcane,1
52.79,29.82,76.12,0,Cotton,0
68.68,30.16,85.16,0,Wheat,0
13.34,17.54,60.24,0,Sugarcane,1
77.95,37.14,76.39,0,Wheat,0
63.37,42.1,30.5,0,Sugarcane,0
16.95,23.07,46.12,0,Cotton,1
84.25,28.9,49.22,1,Rice,0
88.27,42.68,58.35,0,Wheat,0
15.19,43.94,89.68,0,Rice,1
33.53,23.02,85.57,0,Cotton,1
78.53,33.17,30.09,1,Wheat,0
73.6,21.35,32.96,0,Maize,0
25.68,18.36,46.82,0,Maize,1
27.79,45.07,41.81,1,Maize,0
41.49,42.08,66.11,1,Cotton,0
51.18,40.08,87.71,0,Maize,0
62.55,16.61,92.17,0,Wheat,0
41.36,42.84,69.02,0,Maize,1
49.32,29.46,82.86,0,Wheat,1
73.54,26.3,59.39,1,Cotton,0
13.12,33.03,35.62,1,Rice,0
31.46,18.01,59.35,0,Sugarcane,1
70.63,39.97,61.63,0,Maize,0
86.09,34.22,75.68,0,Sugarcane,0
53.49,21.16,36.49,1,Rice,0
55.23,21.21,47.62,0,Cotton,0
19.11,21.08,47.3,0,Cotton,1
48.03,16.88,91.96,0,Rice,1
55.27,34.4,53.3,0,Sugarcane,0
30.61,42.73,76.63,0,Maize,1
32.89,15.58,76.31,1,Wheat,0
42.07,16.62,39.92,1,Cotton,0
11.71,33.9,62.89,0,Rice,1
37.38,42.04,87.07,0,Sugarcane,1
27.97,25.78,55.64,1,Maize,0
37.84,26.54,90.88,0,Sugarcane,0
20.18,34.68,36.08,0,Maize,1
85.69,24.05,25.56,1,Wheat,0
60.46,15.88,86.86,1,Wheat,0
67.72,39.26,83.58,1,Rice,0
77.08,35.65,94.44,0,Rice,0
52.37,34.16,70.95,0,Maize,0
17.39,39.48,90.25,0,Maize,1
55.65,37.28,82.02,0,Maize,0
59.88,21.79,83.33,1,Maize,0
73.36,26.63,62.69,0,Wheat,0
46.69,19.16,48.68,0,Rice,1
20.84,19.29,90.09,0,Rice,1
34.12,37.31,52.41,0,Cotton,1
40.86,43.33,60.41,1,Rice,0
64.9,46.77,53.46,0,Rice,0
58.52,35.74,62.36,0,Sugarcane,0
40.27,21.08,55.29,0,Sugarcane,1
93.85,18.49,23.6,0,Cotton,0
61.49,41.82,86.15,0,Maize,0
30.16,34.1,53.33,0,Cotton,1
